query_number,userid,dbname,calls,rows,mean_rows,total_exec_time_ms,min_exec_time_ms,max_exec_time_ms,mean_exec_time_ms,stddev_exec_time_ms
1,admin,NbNP,30,54630,1821,161.78,4.66,6.98,5.39,0.74
2,admin,NbNP,30,1230,41,171.25,5.12,7.11,5.71,0.54
3,admin,NbNP,30,566880,18896,3924.94,117.67,154.73,130.83,9.97
4,admin,NbNP,30,3210,107,6097.53,188.46,250.08,203.25,12.69
4,admin,NbNP,30,3210,107,296.87,9.17,12.99,9.90,0.83
5,admin,NbNP,30,3210,107,6790.77,201.68,285.49,226.36,18.15
6,admin,NbNP,30,3000,100,10393.12,318.23,380.77,346.44,16.65
7,admin,NbNP,30,3210,107,13288.82,392.99,521.74,442.96,23.46
8,admin,NbNP,30,3210,107,5973.71,181.24,232.37,199.12,12.37
9,admin,NbNP,30,3000,100,5785.64,172.51,239.49,192.85,13.47
